county,school_or_school_district,type,student_cases_new,student_cases_cumulative,staff_cases_new,staff_cases_cumulative
Franklin,Judah Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,Juniper Lyceum,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,Kids Care Elementary,Community School,No Cases Reported,0,No Cases Reported,1
Franklin,KIPP Columbus,Community School,No Cases Reported,0,No Cases Reported,2
Franklin,Linworth Children's Center,Private School,No Cases Reported,1,No Cases Reported,2
Franklin,Mansion Day School - Excel Preparatory Schools,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,Mansion Day School - Excel Preparatory Schools,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,Mason Run High School,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,Metro Early College High School,Public District,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,Midnimo Cross Cultural Community School,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,Mighty Oaks Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,Millennium Community School,Community School,No Cases Reported,0,No Cases Reported,5
Franklin,New Beginnings Christian,Private School,No Cases Reported,3,No Cases Reported,3
Franklin,Noble Academy-Columbus,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,North Columbus Preparatory Academy,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,North Woods Career Prep High School,Community School,No Cases Reported,0,No Cases Reported,1
Franklin,Northland Preparatory and Fitness Academy,Community School,No Cases Reported,1,No Cases Reported,1
Franklin,Northside Christian School,Private School,1,5,0,2
Franklin,Oak Bend Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,Oakstone Academy,Preschool,No Cases Reported,1,No Cases Reported,1
Franklin,Oakstone Community School,Community School,No Cases Reported,0,No Cases Reported,1
Franklin,Ohio Construction Academy,Community School,No Cases Reported,1,No Cases Reported,0
Franklin,Ohio School For The Deaf,Public District,No Cases Reported,0,No Cases Reported,1
Franklin,Ohio School For The Deaf,Public District,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,Ohio School For The Deaf,Public District,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,Osu Child Care Center,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,Our Lady Of Bethlehem,Private School,No Cases Reported,1,No Cases Reported,0
Franklin,Our Lady Of Bethlehem,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,Our Lady Of Bethlehem,Before and After School Programs,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,Our Lady Of Peace,Private School,No Cases Reported,4,No Cases Reported,2
Franklin,Our Lady Of Peace,Before and After School Programs,No Cases Reported,0,No Cases Reported,1
Franklin,Patriot Preparatory Academy,Community School,1,6,0,5
Franklin,Performance Academy Eastland,Community School,No Cases Reported,0,No Cases Reported,4
Franklin,Renaissance Academy,Community School,No Cases Reported,0,No Cases Reported,2
Franklin,Rosemont Center,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,Satterbury School for Exceptional Children,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,Smoky Row Children's Center,Private School,No Cases Reported,0,No Cases Reported,1
Franklin,Sola Gratia Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,Sonshine Christian Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,Sonshine Christian Academy,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,Sonshine Christian Academy,Before and After School Programs,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,South Columbus Preparatory Academy at German Village,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,South Columbus Preparatory Academy at Southfield,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,South Scioto Academy,Community School,No Cases Reported,1,No Cases Reported,1
Franklin,St Anthony,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,St Catharine,Private School,No Cases Reported,2,No Cases Reported,1
Franklin,St Catharine,Preschool,No Cases Reported,2,No Cases Reported,2
Franklin,St Cecilia,Private School,1,5,0,1
Franklin,St Cecilia,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,St Cecilia,Before and After School Programs,No Cases Reported,1,No Cases Reported,0
Franklin,St Francis De Sales,Private School,7,41,4,16
Franklin,St James The Less,Private School,0,1,1,5
Franklin,St James The Less,Before and After School Programs,No Cases Reported,0,No Cases Reported,1
Franklin,St Joseph Montessori,Private School,No Cases Reported,1,No Cases Reported,1
Franklin,St Joseph Montessori,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,St Joseph Montessori,Before and After School Programs,No Cases Reported,1,No Cases Reported,1
Franklin,St Mary,Private School,No Cases Reported,3,No Cases Reported,4
Franklin,St Mary Magdalene,Private School,No Cases Reported,5,No Cases Reported,2
Franklin,St Mary Magdalene,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,St Mary Magdalene,Before and After School Programs,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,St Mary Preschool,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,St Matthias,Private School,No Cases Reported,2,No Cases Reported,2
Franklin,St Michael,Private School,No Cases Reported,1,No Cases Reported,0
Franklin,St Paul Lutheran,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,St Timothy,Private School,0,2,1,1
Franklin,St Timothy,Before and After School Programs,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,St Vincent Family Centers,Private School,No Cases Reported,0,No Cases Reported,4
Franklin,St. Michael Parish Building,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,State School For The Blind,Public District,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,State School For The Blind,Public District,No Cases Reported,0,No Cases Reported,1
Franklin,Sullivant Avenue Community School,Community School,No Cases Reported,3,No Cases Reported,0
Franklin,Summit Academy Community School-Columbus,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,Summit Academy Middle School - Columbus,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,Summit Academy Transition High School-Columbus,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,Sycamore Grove Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,The Academy for Urban Scholars,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,The Aufderheide LIFE Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,The Learning Spectrum,Private School,0,0,1,3
Franklin,The Learning Spectrum,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,Tooba Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,Tree Of Life-Indianola Branch,Private School,No Cases Reported,2,No Cases Reported,3
Franklin,Tree Of Life-Indianola Branch,Preschool,No Cases Reported,0,No Cases Reported,1
Franklin,Tree Of Life-Northridge Branch,Private School,No Cases Reported,22,No Cases Reported,9
Franklin,Trinity,Private School,No Cases Reported,0,No Cases Reported,3
Franklin,Trinity,Before and After School Programs,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,United Preparatory Academy,Community School,0,0,1,2
Franklin,United Preparatory Academy East,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,Valor Academy  Inc.,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,Wellspring Signing Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,Westside Academy,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,Westwood Preparatory Academy,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,Whitehall Preparatory and Fitness Academy,Community School,2,3,0,0
Franklin,Worthington Adventist Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,Worthington Christian School,Private School,6,39,2,8
Franklin,Worthington City,Public District,9,129,1,82
Franklin,Xenos Christian Preschool,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,YB Columbus Community School,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,Zenith Academy,Community School,No Cases Reported,0,No Cases Reported,1
Franklin,Zenith Academy East,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Franklin,Zenith Academy West,Community School,No Cases Reported,0,No Cases Reported,2
Morrow,Hadden Institute The,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Ashtabula,Conneaut Area City,Public District,No Cases Reported,8,No Cases Reported,5
Ashtabula,Shireland Academy,Private School,No Cases Reported,0,No Cases Reported,0
Coshocton,Coshocton City,Public District,2,32,0,20
Coshocton,Coshocton Opportunity School,Community School,0,1,0,0
Coshocton,Sacred Heart,Private School,0,0,0,1
Coshocton,Sacred Heart,Preschool,0,0,0,0
Coshocton,Berean Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Coshocton,Chili Crossroads Christian,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Coshocton,Coshocton Christian School,Private School,0,0,0,0
Coshocton,Coshocton Christian School,Preschool,0,0,0,0
Coshocton,Coshocton County,Joint Vocational School District,1,4,0,5
Coshocton,Coshocton County Board of DD,County Board of Developmental Disabilities,0,1,0,1
Coshocton,Keene Creek School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Coshocton,Ridgewood Local,Public District,0,7,0,5
Coshocton,River View Local,Public District,2,15,2,25
Crawford,Buckeye Central Local,Public District,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Crawford,Bucyrus City,Public District,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Crawford,Colonel Crawford Local,Public District,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Crawford,Crawford County Board of DD,County Board of Developmental Disabilities,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Crawford,Crestline Exempted Village,Public District,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Crawford,St Bernard,Private School,No Cases Reported,0,No Cases Reported,0
Crawford,St Joseph,Private School,No Cases Reported,0,No Cases Reported,0
Crawford,St Joseph,Preschool,No Cases Reported,0,No Cases Reported,0
Crawford,Wayside Christian School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Crawford,Whetstone Baptist Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Crawford,Wynford Local,Public District,No Cases Reported,0,No Cases Reported,3
Cuyahoga,3rd Culture International School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Academy Of St Bartholomew,Private School,0,0,0,0
Cuyahoga,Academy Of St Bartholomew,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Al Ihsan Preschool,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Al Ihsan School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Albert Einstein Academy for Letters  Arts and Sciences-Ohio,Community School,0,0,0,5
Cuyahoga,Apex Academy,Community School,0,0,0,3
Cuyahoga,Assumption,Private School,0,5,0,2
Cuyahoga,Assumption,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Bay Village City,Public District,5,42,5,32
Cuyahoga,Beachwood City,Public District,6,19,2,30
Cuyahoga,Beatrice J. Stone Yavne,Private School,0,11,1,3
Cuyahoga,Beaumont School,Private School,0,15,0,0
Cuyahoga,Bedford City,Public District,0,7,0,21
Cuyahoga,Berea City,Public District,10,57,5,62
Cuyahoga,Bethany Lutheran School,Private School,0,4,0,2
Cuyahoga,Bethany Lutheran School,Preschool,0,1,0,1
Cuyahoga,Bethel Christian Academy,Private School,0,0,0,2
Cuyahoga,Bethel Christian Academy,Preschool,0,0,0,0
Cuyahoga,Brecksville-Broadview Heights City,Public District,6,50,4,32
Cuyahoga,Brooklyn City,Public District,1,13,0,4
Cuyahoga,Chagrin Falls Exempted Village,Public District,4,61,1,23
Cuyahoga,Chaviva High School,Private School,0,0,0,0
Cuyahoga,Classical Academy The,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Cleveland Heights-University Heights City,Public District,0,8,1,18
Cuyahoga,Communion of Saints School,Private School,0,4,0,1
Cuyahoga,Communion of Saints School,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Constellation Schools: Parma Community,Community School,0,0,0,0
Cuyahoga,Cornerstones,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Corpus Christi Academy,Private School,0,4,0,4
Cuyahoga,Corpus Christi Academy,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Creative Playrooms Strongsvill,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Cuyahoga Heights Local,Public District,4,25,4,17
Cuyahoga,Cuyahoga Valley Career Center,Joint Vocational School District,4,33,0,5
Cuyahoga,Dartworth Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Dexter Memorial Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,East Cleveland City School District,Public District,0,0,2,3
Cuyahoga,Edwards Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,ESC of Northeast Ohio,Educational Service Center,0,1,0,11
Cuyahoga,Euclid City,Public District,0,9,4,28
Cuyahoga,Euclid Preparatory School,Community School,0,0,0,2
Cuyahoga,Fairview Park City,Public District,1,6,0,8
Cuyahoga,Flex High School Cleveland,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Free Mind Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Fuchs Mizrachi Of Cleveland,Private School,0,3,0,1
Cuyahoga,Garfield Heights City Schools,Public District,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Gesu Catholic School,Private School,2,4,0,2
Cuyahoga,Gesu Catholic School,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Gilmour Academy,Private School,5,54,0,15
Cuyahoga,Gilmour Academy,Preschool,0,0,2,2
Cuyahoga,Global Village Academy,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Green Inspiration Academy,Community School,0,0,1,1
Cuyahoga,Gross Schechter Day School,Private School,0,10,0,2
Cuyahoga,Gross Schechter Day School,Preschool,0,2,0,0
Cuyahoga,Hanna Perkins,Private School,0,0,1,1
Cuyahoga,Hanna Perkins,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Harrison Enrichment Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Hathaway Brown,Private School,0,1,0,5
Cuyahoga,Hathaway Brown,Preschool,0,0,0,1
Cuyahoga,Hawken Lower-Middle,Private School,0,9,0,3
Cuyahoga,Hawken Lower-Middle,Preschool,0,1,0,0
Cuyahoga,Hebrew Academy Of Cleveland,Private School,4,16,1,11
Cuyahoga,Henry Johnson Academy for Scholars,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Heritage Christian School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Holy Family,Private School,0,4,0,1
Cuyahoga,Holy Name High School,Private School,2,28,1,10
Cuyahoga,Huber Heights Preparatory Academy dba Parma Academy,Community School,0,0,0,0
Cuyahoga,Incarnate Word Academy,Private School,0,1,0,2
Cuyahoga,Incarnate Word Academy,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Independence Christian Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Independence Local,Public District,3,11,1,12
Cuyahoga,Insightful Minds,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Jacob Sapirstein Campus - Hebrew Academy of Cleveland,Private School,1,9,1,7
Cuyahoga,Joseph and Florence Mandel Jewish Day School,Private School,1,8,0,3
Cuyahoga,Joseph and Florence Mandel Jewish Day School,Preschool,0,0,0,0
Cuyahoga,Julie Billiart,Private School,1,1,0,3
Cuyahoga,L.A.D. School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Lakewood Catholic Academy,Private School,1,9,0,6
Cuyahoga,Lakewood Catholic Academy,Preschool,0,3,0,2
Cuyahoga,Lakewood City,Public District,0,11,0,9
Cuyahoga,Lakewood Lutheran,Private School,0,1,0,0
Cuyahoga,Laurel School,Private School,0,6,0,0
Cuyahoga,Laurel School,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Lawrence School,Private School,0,0,0,0
Cuyahoga,Le Chaperon Rouge - Independence,Private School,0,0,0,0
Cuyahoga,Le Chaperon Rouge - Rocky River,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Le Chaperon Rouge - Solon,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Le Chaperon Rouge-Strongsville,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Le Chaperon Rouge-Westlake,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Luther E Ball (Chjcf),Public District,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Lutheran East,Private School,2,9,0,6
Cuyahoga,Lutheran West,Private School,0,5,2,5
Cuyahoga,Lyceum The,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Magnificat,Private School,3,39,1,19
Cuyahoga,Maple Heights City,Public District,0,3,1,35
Cuyahoga,Maple Hts Creative Playrooms,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Mayfield City,Public District,7,89,3,52
Cuyahoga,Messiah Lutheran,Private School,0,1,0,1
Cuyahoga,Messiah Lutheran,Preschool,0,0,0,0
Cuyahoga,Monarch School,Preschool,0,0,0,0
Cuyahoga,Monarch School of Bellefaire JCB,Private School,0,4,0,7
Cuyahoga,Montessori Children's School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Montessori Children's School,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Noble Academy-Cleveland,Community School,0,0,0,0
Cuyahoga,North Olmsted City,Public District,18,50,8,39
Cuyahoga,North Royalton City,Public District,14,99,6,48
Cuyahoga,North Shore High School,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Ohio College Preparatory School,Community School,0,0,0,4
Cuyahoga,Olmsted Falls City,Public District,2,59,1,32
Cuyahoga,Orange City ,Public District,0,23,1,36
Cuyahoga,Our Lady of the Lake School,Private School,0,3,0,2
Cuyahoga,Our Lady of the Lake School,Preschool,0,0,0,0
Cuyahoga,Ouroboros,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Padre Pio Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Padua Franciscan,Private School,0,76,0,9
Cuyahoga,Parma City,Public District,3,37,5,49
Cuyahoga,Parma Heights Christian Acad,Private School,0,0,0,1
Cuyahoga,Pinnacle Academy,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Polaris,Joint Vocational School District,4,39,0,3
Cuyahoga,Proverbs Christian Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Providence Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Randall Park High School,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Ratner School  The,Private School,0,1,0,1
Cuyahoga,Reichelshelm Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Richmond Heights Local,Public District,0,1,0,10
Cuyahoga,Rocky River City,Public District,3,39,3,30
Cuyahoga,Royal Redeemer Lutheran,Private School,1,7,0,3
Cuyahoga,Royal Redeemer Lutheran,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Ruffing Montessori Ingalls,Private School,0,2,0,2
Cuyahoga,Ruffing Montessori Ingalls,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Ruffing Montessori Rocky River,Private School,0,5,2,3
Cuyahoga,Ruffing Montessori Rocky River,Preschool,0,0,0,0
Cuyahoga,Safely Home,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Saint Bridget of Kildare School,Private School,0,3,0,1
Cuyahoga,Saint Bridget of Kildare School,Preschool,0,0,0,0
Cuyahoga,Santa Maria Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Scribes And Scribblers Devl Ct,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Shaker Heights City,Public District,1,22,1,30
Cuyahoga,SMART Academy,Community School,0,0,0,1
Cuyahoga,Solon City,Public District,2,87,6,59
Cuyahoga,Solon Creative Playrooms,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,South Euclid-Lyndhurst City,Public District,0,16,1,37
Cuyahoga,South Suburban Montessori,Private School,0,0,0,0
Cuyahoga,South Suburban Montessori,Preschool,0,0,1,1
Cuyahoga,SS Robert and William School,Private School,0,1,0,2
Cuyahoga,SS Robert and William School,Preschool,0,0,0,0
Cuyahoga,St Albert The Great,Private School,2,15,0,6
Cuyahoga,St Albert The Great,Preschool,0,1,0,0
Cuyahoga,St Angela Merici,Private School,0,3,0,0
Cuyahoga,St Angela Merici,Preschool,0,6,0,3
Cuyahoga,St Anthony Of Padua,Private School,1,3,0,0
Cuyahoga,St Benedict Catholic School,Private School,0,3,0,1
Cuyahoga,St Benedict Early Learning Center,Private School,0,0,0,1
Cuyahoga,St Benedict Early Learning Center,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,St Bernadette,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,St Bernadette,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,St Brendan,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,St Brendan,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,St Cecilia School for Girls,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,St Charles Borromeo,Private School,0,7,0,2
Cuyahoga,St Charles Borromeo,Preschool,No Cases Reported,1,No Cases Reported,0
Cuyahoga,St Christopher,Private School,0,4,0,6
Cuyahoga,St Christopher,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,St Columbkille,Private School,0,3,0,3
Cuyahoga,St Columbkille,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,St Dominic,Private School,0,0,0,2
Cuyahoga,St Edward,Private School,2,47,0,8
Cuyahoga,St Francis Of Assisi,Private School,1,2,0,1
Cuyahoga,St Francis Of Assisi,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,St Joan Of Arc,Private School,1,4,0,2
Cuyahoga,St Mary,Private School,0,2,0,0
Cuyahoga,St Mary,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,St Mary,Before and After School Programs,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,St Mary Of The Falls,Private School,0,2,0,2
Cuyahoga,St Mary Of The Falls,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,St Michael,Private School,0,2,0,0
Cuyahoga,St Michael Catholic School,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,St Paschal Baylon,Private School,0,8,0,2
Cuyahoga,St Paschal Baylon,Preschool,0,0,0,0
Cuyahoga,St Paul Lutheran,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,St Paul Lutheran,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,St Raphael,Private School,4,10,0,2
Cuyahoga,St Rita,Private School,0,1,0,1
Cuyahoga,St Rita,Preschool,0,2,0,0
Cuyahoga,St Thomas Lutheran,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,St Thomas Lutheran,Preschool,1,1,0,0
Cuyahoga,St Thomas Lutheran,Before and After School Programs,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,St Thomas More,Private School,0,0,0,0
Cuyahoga,St Thomas More,Preschool,0,0,0,0
Cuyahoga,STEAM Academy of Warrensville Heights,Community School,0,0,1,3
Cuyahoga,STEPS Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Strongsville City,Public District,14,122,6,89
Cuyahoga,Sts Joseph & John Interparochi,Private School,0,5,1,4
Cuyahoga,Sts Joseph & John Interparochi,Preschool,0,0,0,0
Cuyahoga,Summit Academy Community School-Parma,Community School,0,0,0,0
Cuyahoga,T2 Honors Academy,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,The Reserve School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,The University School - College Prep,Private School,2,13,0,8
Cuyahoga,The University School,Private School,1,5,0,7
Cuyahoga,The University School,Preschool,0,0,0,0
Cuyahoga,Torah Beis Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Trinity,Private School,2,8,0,2
Cuyahoga,Warrensville Center (500),County Board of Developmental Disabilities,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Warrensville Heights City,Public District,0,1,0,8
Cuyahoga,Washington Park Community School,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Westlake City,Public District,6,95,3,57
Cuyahoga,Westlake Montessori,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Westside Christian Academy,Private School,1,2,0,1
Cuyahoga,Westside Christian Academy,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Yeshiva Derech Hatorah,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Cuyahoga,Yeshiva Derech Hatorah,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
